date,ticker,close,volume,short_volume,short_exempt_volume,short_ratio_pct,short_interest,days_to_cover,borrow_fee_pct,utilization_pct,rebate_rate_pct,shares_outstanding,avg_daily_volume,fail_to_deliver,dark_pool_short_volume,dark_pool_short_ratio_pct,price_change_pct,squeeze_score,sentiment_tag,market_cap,exchange,country,data_type
2025-05-09,AAPL,11807,302881,81707,1437,26.98,317148181,1138.84,2.19,88.62,-1.29,2425123774,278484,8576,29226,9.65,-0.1,100,highly_bearish,28633436399618,NASDAQ,US,short_interest
2025-05-12,AAPL,12365,1022457,249638,4394,24.42,257672387,291.88,0.86,55.76,0.04,1832272344,882808,26579,90679,8.87,5.88,100,highly_bearish,22656047533560,NASDAQ,US,short_interest
2025-05-13,AAPL,12026,971276,168103,1308,17.31,519905015,426.19,2.31,63.08,-1.38,4475671929,1219881,5262,26891,2.77,-1.53,100,neutral,53824430618154,NASDAQ,US,short_interest
2025-05-14,AAPL,11880,349329,57318,925,16.41,170918629,475.26,2.59,90.56,0.74,2946495881,359630,2976,10268,2.94,0.24,100,neutral,35004371066280,NYSE,US,short_interest
2025-05-15,AAPL,12218,625285,151371,2150,24.21,6393433,12.22,4.27,74.49,0.41,111007146,523020,4680,25672,4.11,-4.77,89.39,bearish,1356285309828,NASDAQ,US,short_interest
2025-05-16,AAPL,11948,922894,74344,1283,8.06,385646684,343.47,3.07,48.35,-1.2,3166789525,1122805,26358,31840,3.45,-1.46,100,squeeze_watch,37836801244700,NASDAQ,US,short_interest
2025-05-19,AAPL,11950,753642,182840,1949,24.26,99210887,145.39,4.04,94.74,-1.03,1492731027,682385,11994,47879,6.35,2.8,100,bearish,17838135772650,NASDAQ,US,short_interest
2025-05-20,AAPL,11684,300000,65366,1235,21.79,596706399,1690.43,3.02,67.14,-0.51,4109835703,352990,1649,19891,6.63,2.74,100,bearish,48019320353852,NASDAQ,US,short_interest
2025-05-21,AAPL,12126,955576,103161,1640,10.8,223035043,174.22,1.47,76.87,-0.93,2404907981,1280160,26641,40007,4.19,-4.29,100,bearish,29161914177606,NASDAQ,US,short_interest
2025-05-22,AAPL,12101,809383,217479,959,26.87,351197139,515.59,1.49,56.61,-0.17,3757516374,681156,1689,38425,4.75,3.59,100,neutral,45469705641774,NYSE,US,short_interest
2025-05-23,AAPL,11917,363091,67068,1131,18.47,76702467,226.68,1.51,86.21,0.05,3041067074,338372,3205,32831,9.04,1.83,100,highly_bearish,36240396320858,NASDAQ,US,short_interest
2025-05-26,AAPL,12033,579983,131427,835,22.66,15392809,31.31,3.37,72.0,0.22,600137319,491584,9955,60440,10.42,-2.55,100,highly_bearish,7221452359527,NYSE,US,short_interest
2025-05-27,AAPL,12187,494585,74697,1320,15.1,51221185,97.2,3.28,66.66,-0.89,532803682,526993,1134,22365,4.52,-1.24,100,bearish,6493278472534,NYSE,US,short_interest
2025-05-28,AAPL,12454,435267,96466,1464,22.16,421908219,718.23,3.22,94.94,-0.47,3285037493,587424,8126,23215,5.33,1.36,100,squeeze_watch,40911856937822,NYSE,US,short_interest
2025-05-29,AAPL,12204,799334,236993,1906,29.65,54760438,63.92,1.09,59.74,0.22,1800868795,856648,5129,110402,13.81,-2.92,100,bearish,21977802774180,NYSE,US,short_interest
2025-05-30,AAPL,12167,488871,173722,1309,35.54,81899214,153.43,2.26,95.6,0.02,610750145,533797,9908,59742,12.22,-3.85,100,volatile,7430997014215,NYSE,US,short_interest
2025-06-02,AAPL,12026,769542,310103,3590,40.3,452179483,611.5,3.58,51.16,-0.51,3675561242,739459,4195,57177,7.43,-0.6,100,bearish,44202299496292,NYSE,US,short_interest
2025-06-03,AAPL,11787,472002,198007,957,41.95,124103097,235.86,4.48,59.88,-0.77,1924548217,526178,1651,53736,11.38,-5.15,100,neutral,22684649833779,NASDAQ,US,short_interest
2025-06-04,AAPL,12281,943811,385998,4329,40.9,62857220,61.35,4.81,77.85,-0.49,2793458712,1024518,25863,202828,21.49,4.92,100,neutral,34306466442072,NYSE,US,short_interest
2025-06-05,AAPL,12232,710468,286508,1494,40.33,684652191,1002.63,3.74,95.27,0.66,3963326117,682858,9933,43172,6.08,-2.01,100,neutral,48479405063144,NASDAQ,US,short_interest
2025-06-06,AAPL,12181,300000,64874,702,21.62,316192935,1041.86,3.52,85.58,-0.56,2346083729,303488,5363,10092,3.36,2.88,100,bearish,28577645902949,NYSE,US,short_interest
2025-06-09,AAPL,11814,643751,193420,2612,30.05,327684474,553.9,2.2,49.66,0.62,4890894330,591591,8582,96981,15.06,-1.82,100,highly_bearish,57781025614620,NASDAQ,US,short_interest
2025-06-10,AAPL,12362,1313971,211343,3640,16.08,424513662,394.42,3.0,93.75,-0.77,4656361483,1076309,23271,36180,2.75,-3.01,100,volatile,57561940652846,NYSE,US,short_interest
2025-06-11,AAPL,11948,369485,138085,1703,37.37,735035394,1706.46,1.14,96.41,-0.45,4345659049,430738,5709,70911,19.19,-0.87,100,squeeze_watch,51921934317452,NYSE,US,short_interest
2025-06-12,AAPL,12203,300000,74220,349,24.74,223386225,795.21,4.02,68.81,-0.95,1724312057,280913,5382,27336,9.11,3.25,100,bearish,21041780031571,NYSE,US,short_interest
2025-06-13,AAPL,12031,749819,99933,1158,13.33,364496252,350.7,2.99,70.77,-0.36,2610346149,1039337,16421,34592,4.61,2.43,100,bearish,31405074518619,NASDAQ,US,short_interest
2025-06-16,AAPL,12204,703175,200797,1622,28.56,499080192,782.59,2.92,50.45,-0.69,4742833772,637732,7415,84202,11.97,1.27,100,bearish,57881543353488,NYSE,US,short_interest
2025-06-17,AAPL,12339,537209,147085,2228,27.38,121681994,167.63,2.39,79.53,0.12,698950523,725903,12326,52792,9.83,1.9,100,volatile,8624350503297,NYSE,US,short_interest
2025-06-18,AAPL,12195,727927,110180,867,15.14,326125709,429.4,1.55,80.78,-1.24,2335219401,759483,19487,49614,6.82,0.5,100,bearish,28478000595195,NASDAQ,US,short_interest
2025-06-19,AAPL,12030,509790,198664,877,38.97,85983387,150.25,0.05,88.25,-0.95,3049132223,572266,8938,96706,18.97,3.21,100,bearish,36681060642690,NYSE,US,short_interest
2025-06-20,AAPL,12567,725057,179459,2504,24.75,274700771,284.04,3.36,98.74,-0.17,4257086980,967135,5445,84428,11.64,2.37,100,bearish,53498812077660,NASDAQ,US,short_interest
2025-06-23,AAPL,12339,1026700,379682,4724,36.98,266903635,249.29,3.37,98.08,-0.71,4892653904,1070667,8781,127378,12.41,-3.19,100,neutral,60370456521456,NYSE,US,short_interest
2025-06-24,AAPL,11925,314095,29603,522,9.42,767395695,1881.67,2.99,92.57,0.39,4700517671,407828,6007,4661,1.48,6.73,100,neutral,56053673226675,NASDAQ,US,short_interest
2025-06-25,AAPL,11922,488870,181639,1763,37.15,10678843,18.03,0.05,77.38,-0.14,255457223,592235,11394,89883,18.39,1.19,84.15,highly_bearish,3045561012606,NYSE,US,short_interest
2025-06-26,AAPL,12610,359096,130147,1861,36.24,89896030,218.24,2.81,60.18,-0.86,4904003037,411921,4738,47366,13.19,-4.32,100,neutral,61839478296570,NASDAQ,US,short_interest
2025-06-27,AAPL,12479,936353,169246,2376,18.08,685635214,626.19,2.73,61.47,0.54,4947021390,1094929,8471,86342,9.22,-2.13,100,squeeze_watch,61733879925810,NYSE,US,short_interest
2025-06-30,AAPL,11987,423806,116309,1335,27.44,17619998,41.14,2.87,46.03,-1.14,195305072,428342,4947,33389,7.88,0.76,100,neutral,2341121898064,NYSE,US,short_interest
2025-07-01,AAPL,12726,549481,65400,773,11.9,112669281,209.36,4.78,74.15,-0.89,859816023,538152,3735,10281,1.87,7.87,100,bearish,10942018708698,NASDAQ,US,short_interest
2025-07-02,AAPL,12163,597960,225347,3824,37.69,92824334,158.35,2.18,62.01,-0.43,1643851222,586185,6507,81893,13.7,1.66,100,bearish,19994162413186,NASDAQ,US,short_interest
2025-07-03,AAPL,12397,473064,166356,2370,35.17,166241560,303.01,1.64,55.31,-0.71,1487567792,548639,3225,46517,9.83,-3.18,100,neutral,18441377917424,NYSE,US,short_interest
2025-07-04,AAPL,12295,363749,77365,1036,21.27,41382265,84.41,1.47,72.41,-1.43,770859815,490276,556,34959,9.61,2.75,100,bearish,9477721425425,NASDAQ,US,short_interest
2025-07-07,AAPL,12124,300000,57221,708,19.07,591070051,2060.89,3.16,76.52,-0.34,4482925634,286803,6832,28902,9.63,2.18,100,neutral,54350990386616,NASDAQ,US,short_interest
2025-07-08,AAPL,12646,1079831,94311,537,8.73,532293066,486.01,1.3,68.53,-1.36,4837029070,1095228,31077,48235,4.47,-3.49,100,squeeze_watch,61169069619220,NASDAQ,US,short_interest
2025-07-09,AAPL,12500,506580,70280,901,13.87,80126770,151.69,1.62,49.88,-1.46,1183452539,528242,4576,38469,7.59,4.68,100,neutral,14793156737500,NASDAQ,US,short_interest
2025-07-10,AAPL,12283,819452,262912,3919,32.08,49104570,45.65,0.39,79.5,-0.93,4372826204,1075742,23343,128201,15.64,0.22,100,bearish,53711424263732,NYSE,US,short_interest
2025-07-11,AAPL,12357,501816,63206,787,12.6,308964994,462.3,5.3,83.89,-1.39,2814039930,668317,1509,10973,2.19,1.96,100,neutral,34773091415010,NYSE,US,short_interest
2025-07-14,AAPL,12110,505284,191736,848,37.95,79324939,168.42,1.57,87.07,-0.83,2294009936,470987,7757,40771,8.07,1.16,100,bearish,27780460324960,NASDAQ,US,short_interest
2025-07-15,AAPL,12583,696630,192294,2161,27.6,266138450,375.65,1.02,48.25,-0.84,3222096671,708483,19853,61709,8.86,-2.11,100,neutral,40543642411193,NYSE,US,short_interest
2025-07-16,AAPL,12261,381654,128933,2439,33.78,60437711,123.89,2.42,94.92,-1.36,381538191,487828,7917,34388,9.01,4.58,100,squeeze_watch,4678039759851,NYSE,US,short_interest
2025-07-17,AAPL,12307,441619,40574,427,9.19,31116947,77.15,3.24,46.06,-0.85,353656744,403326,12251,7748,1.75,-2.63,100,squeeze_watch,4352453548408,NYSE,US,short_interest
2025-07-18,AAPL,12257,391697,77163,1392,19.7,4669165,9.44,4.6,94.39,0.45,146234716,494769,4132,22207,5.67,-6.26,90.56,squeeze_watch,1792398914012,NYSE,US,short_interest
2025-07-21,AAPL,12777,1105593,257080,3871,23.25,397732060,405.81,3.73,90.77,-1.35,4536302448,980090,8982,95738,8.66,-3.84,100,squeeze_watch,57960336378096,NYSE,US,short_interest
2025-07-22,AAPL,12364,940465,285706,4475,30.38,209710345,202.84,2.26,56.2,-1.26,1443406442,1033864,26117,104304,11.09,-1.28,100,squeeze_watch,17846277248888,NYSE,US,short_interest
2025-07-23,AAPL,12446,441279,56156,1027,12.73,428177830,1099.16,2.1,51.52,-0.17,2577902301,389550,3248,19750,4.48,2.46,100,neutral,32084572038246,NYSE,US,short_interest
2025-07-24,AAPL,12592,507333,203362,3197,40.08,574117133,1090.66,3.03,82.29,-1.04,4109785074,526394,3456,39734,7.83,-1.12,100,neutral,51750413651808,NYSE,US,short_interest
2025-07-25,AAPL,11888,767718,322110,3406,41.96,270202401,413.73,0.66,54.89,-1.05,1851140834,653096,16953,170521,22.21,2.9,100,neutral,22006362234592,NASDAQ,US,short_interest
2025-07-28,AAPL,12076,484985,134333,1284,27.7,84620251,148.13,2.92,79.09,-1.42,4136620719,571251,1516,46553,9.6,3.29,100,neutral,49953831802644,NASDAQ,US,short_interest
2025-07-29,AAPL,12452,317123,68507,1005,21.6,203778206,712.37,3.96,94.56,-0.17,4952512528,286057,1176,10649,3.36,4.7,100,volatile,61668685998656,NYSE,US,short_interest
2025-07-30,AAPL,12528,652925,67291,1131,10.31,418159353,785.41,2.07,87.6,0.17,4644521208,532412,2879,18358,2.81,1.31,100,highly_bearish,58186561693824,NYSE,US,short_interest
2025-07-31,AAPL,12476,300000,36904,493,12.3,114456088,460.66,1.78,89.75,-0.66,2692620900,248460,3174,7522,2.51,-4.64,100,highly_bearish,33593138348400,NYSE,US,short_interest
2025-08-01,AAPL,12527,316258,118251,1138,37.39,242391309,702.31,3.27,88.15,0.79,1397201680,345134,8536,28262,8.94,0.16,100,bearish,17502745445360,NYSE,US,short_interest
2025-08-04,AAPL,11891,300000,64796,756,21.6,308898787,890.41,0.74,88.71,-0.48,2586122139,346918,8622,12333,4.11,-0.16,100,highly_bearish,30751578354849,NYSE,US,short_interest
2025-08-05,AAPL,12421,531553,197222,2871,37.1,486334133,741.29,1.67,72.89,-0.04,4776662826,656064,3028,31713,5.97,4.27,100,highly_bearish,59330928961746,NASDAQ,US,short_interest
2025-08-06,AAPL,12274,354085,129233,633,36.5,36843963,84.67,4.08,68.33,0.43,1158765545,435133,1256,41220,11.64,-5.61,100,bearish,14222688299330,NASDAQ,US,short_interest
2025-08-07,AAPL,12398,808183,251873,2278,31.17,66527849,74.82,1.75,80.13,-1.26,3322739900,889185,6558,80923,10.01,-3.43,100,neutral,41195329280200,NYSE,US,short_interest
2025-08-08,AAPL,12414,472749,196120,2835,41.49,52405743,116.58,2.3,65.79,0.39,336140492,449509,1692,79606,16.84,0.13,100,neutral,4172848067688,NYSE,US,short_interest
2025-08-11,AAPL,12124,399883,160380,1490,40.11,39307690,85.44,1.1,93.56,-1.04,468896214,460088,11225,83955,20.99,3.09,100,bearish,5684897698536,NASDAQ,US,short_interest
2025-08-12,AAPL,12103,400940,123282,540,30.75,98974286,249.87,1.32,48.38,-1.49,1960845916,396096,10849,64691,16.13,2.0,100,squeeze_watch,23732118121348,NASDAQ,US,short_interest
2025-08-13,AAPL,11951,1579984,422503,5133,26.74,782007022,580.19,4.46,73.16,-0.04,4545673177,1347849,26803,148638,9.41,1.77,100,highly_bearish,54325340138327,NYSE,US,short_interest
2025-08-14,AAPL,12184,617978,249868,3160,40.43,28938562,36.59,3.04,72.56,0.17,913109135,790951,14852,73497,11.89,0.01,100,highly_bearish,11125321700840,NASDAQ,US,short_interest
2025-08-15,AAPL,11821,442559,100098,1264,22.62,60133063,100.58,2.93,57.93,-0.79,776002533,597870,7167,25790,5.83,3.33,100,highly_bearish,9173125942593,NASDAQ,US,short_interest
2025-08-18,AAPL,12538,426359,60664,147,14.23,35145323,98.8,3.28,75.19,0.34,459014286,355705,1801,24550,5.76,-1.25,100,neutral,5755121117868,NASDAQ,US,short_interest
2025-08-19,AAPL,11938,718131,201330,3194,28.04,32944930,46.62,3.79,74.85,-0.82,990771581,706696,5704,91502,12.74,4.07,100,neutral,11827831133978,NASDAQ,US,short_interest
2025-08-20,AAPL,12316,300000,114148,434,38.05,216017371,850.61,1.71,55.96,-1.25,4487385217,253956,5541,60989,20.33,3.31,100,bearish,55266636332572,NYSE,US,short_interest
2025-08-21,AAPL,12382,663959,223655,3991,33.69,98493656,120.09,4.0,56.45,-0.22,3883421403,820198,624,97682,14.71,4.1,100,highly_bearish,48084523811946,NASDAQ,US,short_interest
2025-08-22,AAPL,12732,426573,115904,338,27.17,35668562,63.41,5.3,72.83,0.5,227881271,562474,9394,36522,8.56,-1.13,100,squeeze_watch,2901384342372,NASDAQ,US,short_interest
2025-08-25,AAPL,12219,699126,92103,1667,13.17,148401455,201.58,0.38,45.68,-0.7,1417058008,736199,10889,24633,3.52,0.33,100,bearish,17315031799752,NASDAQ,US,short_interest
