date,ticker,etf_inflow,etf_outflow,netflow,aum,sector_rotation,institutional_flow,retail_flow,flow_momentum,smart_money_score,data_type
2025-05-09,QQQ,2934245095,536739684,2397505411,464235472156,ai,-437776104,885440657,32.95,10.43,etf_flow
2025-05-09,SPY,702981388,1019959641,-316978253,240596357213,financials,-1144815192,131021264,-86.81,65.97,etf_flow
2025-05-09,ARKK,68767936,2066517510,-1997749574,398946949794,financials,936606539,34688392,-2.79,60.38,etf_flow
2025-05-09,SOXX,2934038188,1230753570,1703284618,235783321656,ai,-1608629097,237302002,-56.33,69.15,etf_flow
2025-05-09,IBIT,663565187,2522516822,-1858951635,429697196642,tech,1897348673,-704126272,-53.0,84.3,etf_flow
2025-05-12,QQQ,3992823334,2155335694,1837487640,404190911683,financials,-1479559038,-666106992,-44.68,49.63,etf_flow
2025-05-12,SPY,4560809005,639796253,3921012752,218973202815,tech,699726846,903539864,-45.51,33.45,etf_flow
2025-05-12,ARKK,2440074197,1375580277,1064493920,385884665764,ai,-147254962,-184897943,-44.32,69.71,etf_flow
2025-05-12,SOXX,2502268950,1313907652,1188361298,347656353924,ai,-649451470,809430424,20.15,71.07,etf_flow
2025-05-12,IBIT,2009431384,1106668848,902762536,478276343630,tech,-334243315,564733320,3.33,63.06,etf_flow
2025-05-13,QQQ,4620736937,321390818,4299346119,308499540501,ai,281165998,734644263,92.61,73.88,etf_flow
2025-05-13,SPY,3435350728,1678091423,1757259305,243063888861,energy,-317422311,427512505,-63.85,49.8,etf_flow
2025-05-13,ARKK,1498462539,2015668438,-517205899,272599356946,financials,785151128,-724385995,8.36,71.95,etf_flow
2025-05-13,SOXX,3848823048,125734537,3723088511,485211161511,ai,481817882,-16671267,-88.77,51.62,etf_flow
2025-05-13,IBIT,4031686997,2550501543,1481185454,12174891159,tech,829827935,-559442948,40.83,59.93,etf_flow
2025-05-14,QQQ,928195316,527870031,400325285,230147711529,tech,811220427,201032855,68.27,75.5,etf_flow
